tehsil_name,district,state,country
Nagar,Ahmednagar,Maharashtra,India
Shevgaon,Ahmednagar,Maharashtra,India
Pathardi,Ahmednagar,Maharashtra,India
Parner,Ahmednagar,Maharashtra,India
Sangamner,Ahmednagar,Maharashtra,India
Kopargaon,Ahmednagar,Maharashtra,India
Akole,Ahmednagar,Maharashtra,India
Shrirampur,Ahmednagar,Maharashtra,India
Nevasa,Ahmednagar,Maharashtra,India
Rahata,Ahmednagar,Maharashtra,India
Rahuri,Ahmednagar,Maharashtra,India
Shrigonda,Ahmednagar,Maharashtra,India
Karjat,Ahmednagar,Maharashtra,India
Jamkhed,Ahmednagar,Maharashtra,India
Akola,Akola,Maharashtra,India
Akot,Akola,Maharashtra,India
Telhara,Akola,Maharashtra,India
Balapur,Akola,Maharashtra,India
Patur,Akola,Maharashtra,India
Murtajapur,Akola,Maharashtra,India
Barshitakli,Akola,Maharashtra,India
Amravati,Amravati,Maharashtra,India
Achalpur,Amravati,Maharashtra,India
Bhatkuli,Amravati,Maharashtra,India
Chandurbazar,Amravati,Maharashtra,India
Morshi,Amravati,Maharashtra,India
Nandgaon Khandeshwar,Amravati,Maharashtra,India
Dharni,Amravati,Maharashtra,India
Daryapur,Amravati,Maharashtra,India
Anjangaon Surji,Amravati,Maharashtra,India
Chandur,Amravati,Maharashtra,India
Dhamangaon,Amravati,Maharashtra,India
Tiosa,Amravati,Maharashtra,India
Warud,Amravati,Maharashtra,India
Aurangabad,Aurangabad,Maharashtra,India
Kannad,Aurangabad,Maharashtra,India
Soegaon,Aurangabad,Maharashtra,India
Sillod,Aurangabad,Maharashtra,India
Phulambri,Aurangabad,Maharashtra,India
Khuldabad,Aurangabad,Maharashtra,India
Vaijapur,Aurangabad,Maharashtra,India
Paithan,Aurangabad,Maharashtra,India
Gangapur,Aurangabad,Maharashtra,India
Beed,Beed,Maharashtra,India
Ashti,Beed,Maharashtra,India
Patoda,Beed,Maharashtra,India
Shirur Kasar,Beed,Maharashtra,India
Georai,Beed,Maharashtra,India
Majalgaon,Beed,Maharashtra,India
Wadwani,Beed,Maharashtra,India
Kaij,Beed,Maharashtra,India
Parli,Beed,Maharashtra,India
Ambajogai,Beed,Maharashtra,India
Bhandara,Bhandara,Maharashtra,India
Tumsar,Bhandara,Maharashtra,India
Pauni,Bhandara,Maharashtra,India
Mohadi,Bhandara,Maharashtra,India
Sakoli,Bhandara,Maharashtra,India
Lakhni,Bhandara,Maharashtra,India
Lakhandur,Bhandara,Maharashtra,India
Buldhana,Buldhana,Maharashtra,India
Chikhli,Buldhana,Maharashtra,India
Deulgaon Raja,Buldhana,Maharashtra,India
Jalgaon Jamod,Buldhana,Maharashtra,India
Khamgaon,Buldhana,Maharashtra,India
Lonar,Buldhana,Maharashtra,India
Malkapur,Buldhana,Maharashtra,India
Mehkar,Buldhana,Maharashtra,India
Motala,Buldhana,Maharashtra,India
Nandura,Buldhana,Maharashtra,India
Sangrampur,Buldhana,Maharashtra,India
Shegaon,Buldhana,Maharashtra,India
Sindkhed Raja,Buldhana,Maharashtra,India
Chandrapur,Chandrapur,Maharashtra,India
Ballarpur,Chandrapur,Maharashtra,India
Warora,Chandrapur,Maharashtra,India
Bhadravati,Chandrapur,Maharashtra,India
Brahmapuri,Chandrapur,Maharashtra,India
Nagbhid,Chandrapur,Maharashtra,India
Sindewahi,Chandrapur,Maharashtra,India
Chimur,Chandrapur,Maharashtra,India
Mul,Chandrapur,Maharashtra,India
Saoli,Chandrapur,Maharashtra,India
Gondpimpri,Chandrapur,Maharashtra,India
Rajura,Chandrapur,Maharashtra,India
Korpana,Chandrapur,Maharashtra,India
Jivati,Chandrapur,Maharashtra,India
Dhule,Dhule,Maharashtra,India
Sakri,Dhule,Maharashtra,India
Shirpur,Dhule,Maharashtra,India
Shindkheda,Dhule,Maharashtra,India
Gadchiroli,Gadchiroli,Maharashtra,India
Dhanora,Gadchiroli,Maharashtra,India
Chamorshi,Gadchiroli,Maharashtra,India
Mulchera,Gadchiroli,Maharashtra,India
Desaiganj,Gadchiroli,Maharashtra,India
Armori,Gadchiroli,Maharashtra,India
Kurkheda,Gadchiroli,Maharashtra,India
Korchi,Gadchiroli,Maharashtra,India
Aheri,Gadchiroli,Maharashtra,India
Bhamragad,Gadchiroli,Maharashtra,India
Sironcha,Gadchiroli,Maharashtra,India
Gondia,Gondia,Maharashtra,India
Tirora,Gondia,Maharashtra,India
Goregaon,Gondia,Maharashtra,India
Arjuni Morgaon,Gondia,Maharashtra,India
Amgaon,Gondia,Maharashtra,India
Salekasa,Gondia,Maharashtra,India
Sadak Arjuni,Gondia,Maharashtra,India
Deori,Gondia,Maharashtra,India
Hingoli,Hingoli,Maharashtra,India
Kalamnuri,Hingoli,Maharashtra,India
Sengaon,Hingoli,Maharashtra,India
Aundha Nagnath,Hingoli,Maharashtra,India
Basmat,Hingoli,Maharashtra,India
Jalgaon,Jalgaon,Maharashtra,India
Jamner,Jalgaon,Maharashtra,India
Erandol,Jalgaon,Maharashtra,India
Dharangaon,Jalgaon,Maharashtra,India
Bhusawal,Jalgaon,Maharashtra,India
Raver,Jalgaon,Maharashtra,India
Muktainagar,Jalgaon,Maharashtra,India
Bodwad,Jalgaon,Maharashtra,India
Yawal,Jalgaon,Maharashtra,India
Amalner,Jalgaon,Maharashtra,India
Chopda,Jalgaon,Maharashtra,India
Parola,Jalgaon,Maharashtra,India
Pachora,Jalgaon,Maharashtra,India
Bhadgaon,Jalgaon,Maharashtra,India
Chalisgaon,Jalgaon,Maharashtra,India
Jalna,Jalna,Maharashtra,India
Bhokardan,Jalna,Maharashtra,India
Jafrabad,Jalna,Maharashtra,India
Ambad,Jalna,Maharashtra,India
Ghansawangi,Jalna,Maharashtra,India
Partur,Jalna,Maharashtra,India
Mantha,Jalna,Maharashtra,India
Badnapur,Jalna,Maharashtra,India
Karvir,Kolhapur,Maharashtra,India
Panhala,Kolhapur,Maharashtra,India
Shahuwadi,Kolhapur,Maharashtra,India
Hatkanangale,Kolhapur,Maharashtra,India
Shirol,Kolhapur,Maharashtra,India
Gaganbawada,Kolhapur,Maharashtra,India
Radhanagari,Kolhapur,Maharashtra,India
Kagal,Kolhapur,Maharashtra,India
Bhudargad,Kolhapur,Maharashtra,India
Ajara,Kolhapur,Maharashtra,India
Gadhinglaj,Kolhapur,Maharashtra,India
Chandgad,Kolhapur,Maharashtra,India
Latur,Latur,Maharashtra,India
Ausa,Latur,Maharashtra,India
Nilanga,Latur,Maharashtra,India
Udgir,Latur,Maharashtra,India
Renapur,Latur,Maharashtra,India
Ahmadpur,Latur,Maharashtra,India
Jalkot,Latur,Maharashtra,India
Chakur,Latur,Maharashtra,India
Deoni,Latur,Maharashtra,India
Shirur Anantpal,Latur,Maharashtra,India
Fort,Mumbai City,Maharashtra,India
Byculla,Mumbai City,Maharashtra,India
Kurla,Mumbai City,Maharashtra,India
Andheri,Mumbai Suburban,Maharashtra,India
Borivali,Mumbai Suburban,Maharashtra,India
Kurla,Mumbai Suburban,Maharashtra,India
Nagpur Urban,Nagpur,Maharashtra,India
Nagpur Rural,Nagpur,Maharashtra,India
Katol,Nagpur,Maharashtra,India
Kalmeshwar,Nagpur,Maharashtra,India
Savner,Nagpur,Maharashtra,India
Parseoni,Nagpur,Maharashtra,India
Ramtek,Nagpur,Maharashtra,India
Kamptee,Nagpur,Maharashtra,India
Umred,Nagpur,Maharashtra,India
Kuhi,Nagpur,Maharashtra,India
Mauda,Nagpur,Maharashtra,India
Hingna,Nagpur,Maharashtra,India
Narkhed,Nagpur,Maharashtra,India
Nanded,Nanded,Maharashtra,India
Ardhapur,Nanded,Maharashtra,India
Mudkhed,Nanded,Maharashtra,India
Bhokar,Nanded,Maharashtra,India
Umri,Nanded,Maharashtra,India
Dharmabad,Nanded,Maharashtra,India
Biloli,Nanded,Maharashtra,India
Naigaon,Nanded,Maharashtra,India
Loha,Nanded,Maharashtra,India
Kandhar,Nanded,Maharashtra,India
Kinwat,Nanded,Maharashtra,India
Hadgaon,Nanded,Maharashtra,India
Deglur,Nanded,Maharashtra,India
Mahur,Nanded,Maharashtra,India
Himayatnagar,Nanded,Maharashtra,India
Mukhed,Nanded,Maharashtra,India
Nandurbar,Nandurbar,Maharashtra,India
Shahada,Nandurbar,Maharashtra,India
Taloda,Nandurbar,Maharashtra,India
Navapur,Nandurbar,Maharashtra,India
Akkalkuwa,Nandurbar,Maharashtra,India
Akrani,Nandurbar,Maharashtra,India
Nashik,Nashik,Maharashtra,India
Igatpuri,Nashik,Maharashtra,India
Trimbakeshwar,Nashik,Maharashtra,India
Dindori,Nashik,Maharashtra,India
Peth,Nashik,Maharashtra,India
Kalwan,Nashik,Maharashtra,India
Surgana,Nashik,Maharashtra,India
Chandwad,Nashik,Maharashtra,India
Deola,Nashik,Maharashtra,India
Baglan,Nashik,Maharashtra,India
Malegaon,Nashik,Maharashtra,India
Nandgaon,Nashik,Maharashtra,India
Yeola,Nashik,Maharashtra,India
Niphad,Nashik,Maharashtra,India
Sinnar,Nashik,Maharashtra,India
Osmanabad,Osmanabad,Maharashtra,India
Tuljapur,Osmanabad,Maharashtra,India
Kalamb,Osmanabad,Maharashtra,India
Umarga,Osmanabad,Maharashtra,India
Lohara,Osmanabad,Maharashtra,India
Paranda,Osmanabad,Maharashtra,India
Bhum,Osmanabad,Maharashtra,India
Washi,Osmanabad,Maharashtra,India
Palghar,Palghar,Maharashtra,India
Vasai,Palghar,Maharashtra,India
Dahanu,Palghar,Maharashtra,India
Talasari,Palghar,Maharashtra,India
Jawhar,Palghar,Maharashtra,India
Mokhada,Palghar,Maharashtra,India
Vikramgad,Palghar,Maharashtra,India
Wada,Palghar,Maharashtra,India
Parbhani,Parbhani,Maharashtra,India
Gangakhed,Parbhani,Maharashtra,India
Pathri,Parbhani,Maharashtra,India
Manwath,Parbhani,Maharashtra,India
Jintur,Parbhani,Maharashtra,India
Sonpeth,Parbhani,Maharashtra,India
Purna,Parbhani,Maharashtra,India
Palam,Parbhani,Maharashtra,India
Sailu,Parbhani,Maharashtra,India
Pune City,Pune,Maharashtra,India
Haveli,Pune,Maharashtra,India
Khed,Pune,Maharashtra,India
Junnar,Pune,Maharashtra,India
Ambegaon,Pune,Maharashtra,India
Maval,Pune,Maharashtra,India
Mulshi,Pune,Maharashtra,India
Shirur,Pune,Maharashtra,India
Purandar,Pune,Maharashtra,India
Velhe,Pune,Maharashtra,India
Bhor,Pune,Maharashtra,India
Baramati,Pune,Maharashtra,India
Indapur,Pune,Maharashtra,India
Daund,Pune,Maharashtra,India
Alibag,Raigad,Maharashtra,India
Panvel,Raigad,Maharashtra,India
Uran,Raigad,Maharashtra,India
Karjat,Raigad,Maharashtra,India
Khalapur,Raigad,Maharashtra,India
Pen,Raigad,Maharashtra,India
Mangaon,Raigad,Maharashtra,India
Roha,Raigad,Maharashtra,India
Sudhagad,Raigad,Maharashtra,India
Mahad,Raigad,Maharashtra,India
Poladpur,Raigad,Maharashtra,India
Shrivardhan,Raigad,Maharashtra,India
Mhasla,Raigad,Maharashtra,India
Murud,Raigad,Maharashtra,India
Tala,Raigad,Maharashtra,India
Ratnagiri,Ratnagiri,Maharashtra,India
Sangameshwar,Ratnagiri,Maharashtra,India
Lanja,Ratnagiri,Maharashtra,India
Rajapur,Ratnagiri,Maharashtra,India
Chiplun,Ratnagiri,Maharashtra,India
Guhagar,Ratnagiri,Maharashtra,India
Dapoli,Ratnagiri,Maharashtra,India
Mandangad,Ratnagiri,Maharashtra,India
Khed,Ratnagiri,Maharashtra,India
Miraj,Sangli,Maharashtra,India
Kavathe Mahankal,Sangli,Maharashtra,India
Tasgaon,Sangli,Maharashtra,India
Jat,Sangli,Maharashtra,India
Walwa,Sangli,Maharashtra,India
Shirala,Sangli,Maharashtra,India
Khanapur,Sangli,Maharashtra,India
Atpadi,Sangli,Maharashtra,India
Palus,Sangli,Maharashtra,India
Satara,Satara,Maharashtra,India
Wai,Satara,Maharashtra,India
Khandala,Satara,Maharashtra,India
Koregaon,Satara,Maharashtra,India
Phaltan,Satara,Maharashtra,India
Man,Satara,Maharashtra,India
Khatav,Satara,Maharashtra,India
Patan,Satara,Maharashtra,India
Karad,Satara,Maharashtra,India
Jaoli,Satara,Maharashtra,India
Mahabaleshwar,Satara,Maharashtra,India
Kankavli,Sindhudurg,Maharashtra,India
Vaibhavwadi,Sindhudurg,Maharashtra,India
Devgad,Sindhudurg,Maharashtra,India
Malvan,Sindhudurg,Maharashtra,India
Sawantwadi,Sindhudurg,Maharashtra,India
Kudal,Sindhudurg,Maharashtra,India
Vengurla,Sindhudurg,Maharashtra,India
Dodamarg,Sindhudurg,Maharashtra,India
Solapur North,Solapur,Maharashtra,India
Solapur South,Solapur,Maharashtra,India
Akkalkot,Solapur,Maharashtra,India
Barshi,Solapur,Maharashtra,India
Karmala,Solapur,Maharashtra,India
Madha,Solapur,Maharashtra,India
Malshiras,Solapur,Maharashtra,India
Mangalvedhe,Solapur,Maharashtra,India
Mohol,Solapur,Maharashtra,India
North Solapur,Solapur,Maharashtra,India
Pandharpur,Solapur,Maharashtra,India
Sangola,Solapur,Maharashtra,India
South Solapur,Solapur,Maharashtra,India
Thane,Thane,Maharashtra,India
Kalyan,Thane,Maharashtra,India
Bhiwandi,Thane,Maharashtra,India
Shahapur,Thane,Maharashtra,India
Murbad,Thane,Maharashtra,India
Ulhasnagar,Thane,Maharashtra,India
Ambarnath,Thane,Maharashtra,India
Wardha,Wardha,Maharashtra,India
Arvi,Wardha,Maharashtra,India
Ashti,Wardha,Maharashtra,India
Deoli,Wardha,Maharashtra,India
Hinganghat,Wardha,Maharashtra,India
Samudrapur,Wardha,Maharashtra,India
Seloo,Wardha,Maharashtra,India
Washim,Washim,Maharashtra,India
Malegaon,Washim,Maharashtra,India
Mangrulpir,Washim,Maharashtra,India
Manora,Washim,Maharashtra,India
Karanja,Washim,Maharashtra,India
Risod,Washim,Maharashtra,India
Yavatmal,Yavatmal,Maharashtra,India
Darwha,Yavatmal,Maharashtra,India
Pusad,Yavatmal,Maharashtra,India
Umarkhed,Yavatmal,Maharashtra,India
Mahagaon,Yavatmal,Maharashtra,India
Maregaon,Yavatmal,Maharashtra,India
Arni,Yavatmal,Maharashtra,India
Ghatanji,Yavatmal,Maharashtra,India
Kalamb,Yavatmal,Maharashtra,India
Ner,Yavatmal,Maharashtra,India
Digras,Yavatmal,Maharashtra,India
Ralegaon,Yavatmal,Maharashtra,India
Babhulgaon,Yavatmal,Maharashtra,India
Zari Jamani,Yavatmal,Maharashtra,India
Wani,Yavatmal,Maharashtra,India
Kelapur,Yavatmal,Maharashtra,India
