raw_name,canonical_name
अर्जुणी,अर्जुणी
अस्वलपार,अस्वलपार
आंबेझरी,आंबेझरी
आमपायली,आमपायली
आलकणार,आलकणार
इरपुंडी,इरपुंडी
ईरूपटोला,ईरुपटोला
ईरूपधोडरी,ईरूपधोडरी
उदेगाव,उदेगाव
उमलपाल,उमरपाल
उशिरपार,उशिरपार
एडमपायली मोठी,एडमपायली मोठी
एडसगोंदी,एडसगोंदी
कचकल,कचकल
कटेझरी (कारवाफा),कटेझरी (कारवाफा)
कनगडी,कनगडी
कनारटोला,कनारटोला
कनेली,कनेली
कन्हाळगाव,कन्हाळगाव
कन्हाळटोला,कन्हाळटोला
करंगामी टोला,करंगामी टोला
करेमयान,करेमयान
करेमरका,करेमरका
कवडीकसा,कवडीकसा
कांदाळी,कांदाळी
काकडयेली,काकडयेली
कामथळा,कामथळा
कामनगड,कामनगड
कारवाफा बाजार मंगळ,कारवाफा बाजार मंगळ
किसनेली,किसनेली
कुडकवाही,कुडकवाही
कुथेगाव,कुथेगाव
कुपानेर,कुपानेर
कुलभट्टी,कुलभट्टी
कुसूमटोला,कुसूमटोला
केसनेर,केसनेर
केहकावाही,केहकावाही
कोंडेखल,कोंडेखल
कोंदा,कोंदा
कोकडकसा,कोकडकसा
कोपागुडा,कोपागुडा
कोलारबोडी,केलारबोडी
कोवानटोला,कोवानटोला
कोसमी क्र.1,कोसमी क्र.1
खरकाळी,खरकाळी
खरगी,खरगी
खांबाळा,खांबाळा
खुटगाव,खुटगाव
खेडी,खेडी
खेडेगाव,खेडेगाव
गजामेंढी,गजामेंढी
गटानेली,गटानेली
गट्टा,गट्टा
गट्टेपायली,गट्टेपायली
गातापेडी,गातापेडी
गायडोंग,गायडोंग
गिरोला,गिरोला
गुजनवाडी,गुजनवाडी
गुमडी,गुमडी
गुरेकसा,गुरेकसा
गोटा (कारवाफा),गोटा (कारवाफा)
गोटा (पेंढरी),गोटा (पेंढरी)
गोटाटोला,गोटाटोला
गोडलवाही,गोडलवाही
गोडलवाही टोला,गोडलवाही टोला
घोटेविहीर,घोटेविहीर
घोडेझरी,घोडेझरी
चव्हेला,चव्हेला
चातगाव टोला,चातगाव टोला
चातगाव बाजार बुध,चातगाव बाजार बुध
चारवाही,चारवाही
चिंगली,चिंगली
चिचोडा,चिचोडा
चिचोली,चिचोली
चिमरीकल,चिमरीकल
चुटिंगटोला,चुटिंगटोला
चुडीयाल,चुडीयाल
जप्पी,जप्पी
जांगदा,जांगदा
जांभळी,जांभळी
जांभळीझोरा,जांभळीझोरा
जेवलवाही,जेवलवाही
झरी,झरी
झाडापापडा,झाडापापडा
टवेटोला,टवेटोला
डब्बा,डब्बा
डोंगरहुड,डोंगरहुड
डोंरी,डोंरी
ढवळी,ढवळी
ढोरगट्टा,ढोरगट्टा
तळेगाव,तळेगाव
तळोधी,तळोधी
तहकापार,तहकापार
तुकुम,तुकुम
तुमडीकसा,तुमडीकसा
तुळमेर,तुळमेर
तोडे,तोडे
तोयागोंदी,तोयागोंदी
दराची,दराची
दुधमाळा,दुधमाळा
दुर्गापुर,दुर्गापुर
दुसानटोला,दुसानटोला
देउळगाव,देऊळगाव
देवसुर,देवसुर
नवरगाव,नवरगाव
नवेगाव,नवेगाव
निमगाव,निमगाव
निमनवाडा,निमनवाडा
पदाबोरीया,पदाबोरीया
पन्नेमारा,पन्नेमारा
पयडी,पयडी
परसवाडी,परसवाडी
परसविहीर,परसविहीर
पलखेडा,पलखेडा
पळसगाव,पळसगाव
पवणी,पवणी
पांढरसडा,पांढरसडा
पाथरगोटा (कारवाफा),पाथरगोटा (कारवाफा)
पाथरगोटा (पेंढरी),पाथरगोटा (पेंढरी)
पावरवेल,पावरवेल
पावेटोला,पावेटोला
पुलखल,पुलखल
पुसावंडी,पुसावंडी
पुस्टोला,पुस्टोला
पेकिन मुडझा,पेकिन मुडझा
फाशीटोला,फाशीटोला
फुलकोडो,फुलकोडो
फुलबोडी,फुलबोडी
बंधुर,बंधुर
बांधोना,बांधोना
बेलगाव,बेलगाव
बोटेहुर,बोटेहुर
बोधनखेडा,बोधनखेडा
बोधिन,बोधिन
बोरी,बोरी
भटम-यान,भटमऱ्यान
भापडा,भापडा
भिमपुर,भिमपुर
भुरानटोला,भुरानटोला
भुसनपुडो,भुसनपुडो
भेंडीकन्हार,भेंडीकन्हार
भोजगट्टा,भोजगट्टा
मंगेवाडा,मंगेवाडा
मकदंड,मकदंड
मक्केपायली,मक्केपायली
मरकेगाव,मरकेगाव मुरूमगाव
मरकेगाव (चिचोडा),मरकेगाव (चिचोडा)
मर्मा,मर्मा
महावाड 2,महावाड 2
महावाडा,महावाडा
माळंदा,माळंदा
मासरगट्टा,मासरगट्टा
मासानदी,मासानदी
मिचगाव,मिचगाव
मिचगाव खु.,मिचगाव खु.
मिचगाव बु.,मिचगाव बु.
मिचटोला,मिचटोला
मुंगणेर,मुंगणेर
मुंजालगोंदी,मुंजालगोंदी
मुरगाव,मुरगाव
मुरझर,मुरझर
मुरूमगाव,मुरूमगाव
मुस्का,मुस्का मुरूमगाव
मेंढाटोला,मेंढाटोला
मेंढालेखा,मेंढालेखा
मेटेजांगदा,मेटेजांगदा
मोडेभट्टी,मोडेभट्टी
मोरचूल,मोरचुल
मोवाड,मोवाड
मोहगाव,मोहगाव
मोहली,मोहली
मोहली टोला,मोहली टोला
येडमपायली लहान,येडमपायली लहान
येनगाव,येनगाव
येरंडी,येरंडी
येरकड,येरकड
रांगी,रांगी
राजोली,राजोली
रानवाही,रानवाही
रामपूर,रामपूर
रिडवाही,रिडवाही
रेंगागाव,रेन्गागाव
रेंगाटोला,रेंगाटोला
रेंगादंडी,रेंगादंडी
रेखाटोला,रेखाटोला
रेचा,रेचा
रोंडावाही,रोंडावाही
रोपिनगट्टा,रोपिनगट्टा
लहान झेलिया,लहान - झेलीया
लाडझोरा,लाडझोरा
लेखा,लेखा
वडगाव,वडगाव
वाघभुमी,वाघभुमी
वाही बाजार मंगळ,वाही बाजार मंगळ
शिवगाटा,शिवगाटा
समलपूर,समलपूर
साखेरा,साखेरा
साखेराटोला,साखेराटोला
सायगाव,सायगाव
सालईटोला,सालईटोला
सालेभट्टी,सालेभट्टी
सावंगा खुर्द,सावंगा खुर्द
सावंगा बुज,सावंगा बुज
सावरगाव,सावरगाव
सिंगापुर,सिंगापुर
सिंसुर,सिंसुर
सिनदेसुर,सिनदेसुर
सीताटोला,सीताटोला
सुरसुंडी,सुरसुंडी
सोडे,सोडे
हटझर,हटझर
हटानझुर,हटानझुर
हणपायली,हणपायली
हरांडा,हरांडा
हाडापेठ,हाडापेठ
हिपानेर,हिपानेर
हिरंगे,हिरंगे
हेटी,हेटी
होरेकसा,होरेकसा
हनपायली,हणपायली
इरुपटोला,ईरुपटोला
ईरपधोडरी,ईरूपधोडरी
कटेझरी,कटेझरी (कारवाफा)
"कटेझरी (बाजार, शुक्र)","कटेझरी (बाजार, शुक्र)"
कारंगामी टोला,करंगामी टोला
करेमऱ्यान,करेमयान
"कारवाफा ( बाजार, मंगळ)",कारवाफा बाजार मंगळ
"कारवाफा (बाजार, मंगळ)",कारवाफा बाजार मंगळ
काकाडयेली,काकडयेली
कावडीकसा,कवडीकसा
"कोंदावाही (बाजार, मंगळ)","कोंदावाही (बाजार, मंगळ)"
कोंदावाही,कोंदावाही
"कोसमी क्र. 1 (बाजार, बुध)","कोसमी क्र.1 (बाजार, बुध)"
"कोसमी क्र.1 (बाजार, बुध)","कोसमी क्र.1 (बाजार, बुध)"
कुसुम टोला,कुसूमटोला
तुकूम,तुकुम
दुर्गापूर,दुर्गापुर
"दुधमाळा(बाजार, सोमवार)","दुधमाळा(बाजार, सोमवार)"
"दूधमाळा(बाजार, सोमवार)","दुधमाळा(बाजार, सोमवार)"
पदाबोरिया,पदाबोरीया
पन्‍नेमारा,पन्नेमारा
पाथरगोटा,पाथरगोटा (कारवाफा)
पाथरगोटा (गट्टा)+गोटा,पाथरगोटा (पेंढरी)
पाथरगोटा (गट्टा)+ गोटा,पाथरगोटा (पेंढरी)
पुस्‍टोला,पुस्टोला
"पेंढरी (बाजार, गुरुवार)","पेंढरी (बाजार, गुरुवार)"
भटमर्यान,भटमऱ्यान
भटमर्‍यान,भटमऱ्यान
भुरान टोला,भुरानटोला
भेंडीकण्हार,भेंडीकन्हार
मुंजालगोंदि,मुंजालगोंदी
मुस्‍का,मुस्का मुरूमगाव
"मुरूमगाव (बाजार, मंगळ)","मुरूमगाव (बाजार, मंगळ)"
गायडोंगरी,गायडोंगरी
गटानयेली,गटानेली
गोडालवही,गोडलवाही
गोडालवही टोला,गोडलवाही टोला
धोरगट्टा,ढोरगट्टा
"चातगाव (बाजार, बुध )",चातगाव बाजार बुध
"रांगी (बाजार, बुधवार)","रांगी (बाजार, बुधवार)"
"रांगी( बाजार,बुधवार)","रांगी (बाजार, बुधवार)"
"येरकड ( बाजार, सोम)","येरकड (बाजार, सोम)"
"येरकड (बाजार, सोम)","येरकड (बाजार, सोम)"
"सावरगाव (बाजार, शुक)","सावरगाव (बाजार, शुक्र)"
"सावरगाव (बाजार, शुक्र)","सावरगाव (बाजार, शुक्र)"
सावंगा खुर्द.,सावंगा खुर्द
सावंगा बूज.,सावंगा बुज
साखेरा टोला,साखेराटोला
रेखातोला,रेखाटोला
हेट्टी,हेटी
मिचगाव खू,मिचगाव खु.
"मिचगाव बु.(बाजार, रविवार)","मिचगाव बु.(बाजार, रविवार)"
येनगाव 1,येनगाव 1
मंगेवाडा 1,मंगेवाडा 1
महावाडा 2,महावाड 2
जपतलाई,जपतलाई
"जपतलाई (बाजार, बुधवार)","जपतलाई (बाजार, बुधवार)"
जांभळी टोला,जांभळी टोला
पेंढरी,पेंढरी
खेडी-(मोवाड),खेडी - मोवाड
देउळगांव,देऊळगाव
पालखेडा,पलखेडा
भटमऱ्यांन,भटमऱ्यान
महावाडा गिरोला,महावाडा
रेगांगाव,रेन्गागाव
